Ordinal Name                                  Library 
------- ----                                  ------- 
RegCloseKey                           ADVAPI32
RegEnumKeyExW                         ADVAPI32
RegQueryValueExW                      ADVAPI32
RegSetValueExW                        ADVAPI32
RegDeleteValueW                       ADVAPI32
RegOpenKeyExW                         ADVAPI32
CryptReleaseContext                   ADVAPI32
CryptDestroyHash                      ADVAPI32
CryptAcquireContextW                  ADVAPI32
CryptGenRandom                        ADVAPI32
CryptCreateHash                       ADVAPI32
CryptHashData                         ADVAPI32
CryptGetHashParam                     ADVAPI32
CryptImportKey                        ADVAPI32
CryptEncrypt                          ADVAPI32
CryptDestroyKey                       ADVAPI32
RemoveWindowSubclass                  COMCTL32
ImageList_ReplaceIcon                 COMCTL32
ImageList_Destroy                     COMCTL32
ImageList_GetIcon                     COMCTL32
ImageList_GetIconSize                 COMCTL32
DefSubclassProc                       COMCTL32
ImageList_Create                      COMCTL32
GetWindowSubclass                     COMCTL32
SetWindowSubclass                     COMCTL32
_TrackMouseEvent                      COMCTL32
ImageList_SetBkColor                  COMCTL32
GetOpenFileNameW                      COMDLG32
ChooseColorW                          COMDLG32
GetSaveFileNameW                      COMDLG32
CreateCompatibleDC                    GDI32   
DeleteDC                              GDI32   
CreateBitmap                          GDI32   
CreateSolidBrush                      GDI32   
GetStockObject                        GDI32   
SetBkColor                            GDI32   
ExtTextOutW                           GDI32   
GetDIBits                             GDI32   
SetPixelV                             GDI32   
SetViewportOrgEx                      GDI32   
GetTextExtentPoint32W                 GDI32   
IntersectClipRect                     GDI32   
SelectClipRgn                         GDI32   
ExcludeClipRect                       GDI32   
CreateRectRgn                         GDI32   
CreateRoundRectRgn                    GDI32   
CreatePolygonRgn                      GDI32   
GetTextColor                          GDI32   
LineTo                                GDI32   
MoveToEx                              GDI32   
BitBlt                                GDI32   
GetClipBox                            GDI32   
Rectangle                             GDI32   
SelectObject                          GDI32   
CreatePen                             GDI32   
SetROP2                               GDI32   
EnumFontFamiliesExW                   GDI32   
GetDeviceCaps                         GDI32   
SetTextColor                          GDI32   
SetBkMode                             GDI32   
CreateFontIndirectW                   GDI32   
CreateCompatibleBitmap                GDI32   
DeleteObject                          GDI32   
GetObjectW                            GDI32   
GetSystemDefaultUILanguage            KERNEL32
CreateDirectoryW                      KERNEL32
GetTempPathW                          KERNEL32
GetTempFileNameW                      KERNEL32
FindFirstFileW                        KERNEL32
FindNextFileW                         KERNEL32
InitializeSListHead                   KERNEL32
InterlockedPopEntrySList              KERNEL32
InterlockedPushEntrySList             KERNEL32
IsProcessorFeaturePresent             KERNEL32
VirtualAlloc                          KERNEL32
VirtualFree                           KERNEL32
IsDebuggerPresent                     KERNEL32
OutputDebugStringW                    KERNEL32
SetEndOfFile                          KERNEL32
GetCurrentDirectoryW                  KERNEL32
GetFullPathNameW                      KERNEL32
SetEnvironmentVariableA               KERNEL32
GetTimeZoneInformation                KERNEL32
SystemTimeToTzSpecificLocalTime       KERNEL32
GetDriveTypeW                         KERNEL32
FindFirstFileExW                      KERNEL32
ReadConsoleW                          KERNEL32
ExitThread                            KERNEL32
FileTimeToSystemTime                  KERNEL32
PeekNamedPipe                         KERNEL32
GetFileInformationByHandle            KERNEL32
FileTimeToLocalFileTime               KERNEL32
SizeofResource                        KERNEL32
GetProcessHeap                        KERNEL32
HeapAlloc                             KERNEL32
HeapFree                              KERNEL32
HeapReAlloc                           KERNEL32
HeapSize                              KERNEL32
HeapDestroy                           KERNEL32
GetCurrentThreadId                    KERNEL32
SetLastError                          KERNEL32
FlushInstructionCache                 KERNEL32
QueryPerformanceFrequency             KERNEL32
GetCurrentProcess                     KERNEL32
FindClose                             KERNEL32
FindFirstFileA                        KERNEL32
FormatMessageA                        KERNEL32
SetFilePointer                        KERNEL32
VerSetConditionMask                   KERNEL32
ExpandEnvironmentStringsA             KERNEL32
InitializeCriticalSection             KERNEL32
SleepEx                               KERNEL32
FlushFileBuffers                      KERNEL32
WriteConsoleW                         KERNEL32
SetStdHandle                          KERNEL32
SetFilePointerEx                      KERNEL32
GetConsoleMode                        KERNEL32
GetConsoleCP                          KERNEL32
RtlUnwind                             KERNEL32
LoadLibraryExW                        KERNEL32
TlsFree                               KERNEL32
TlsSetValue                           KERNEL32
TlsGetValue                           KERNEL32
TlsAlloc                              KERNEL32
TerminateProcess                      KERNEL32
SetUnhandledExceptionFilter           KERNEL32
UnhandledExceptionFilter              KERNEL32
FreeEnvironmentStringsW               KERNEL32
GetEnvironmentStringsW                KERNEL32
GetSystemTimeAsFileTime               KERNEL32
GetCurrentProcessId                   KERNEL32
QueryPerformanceCounter               KERNEL32
GetStartupInfoW                       KERNEL32
GetFileType                           KERNEL32
GetStdHandle                          KERNEL32
GetStringTypeW                        KERNEL32
GetCPInfo                             KERNEL32
GetOEMCP                              KERNEL32
GetACP                                KERNEL32
IsValidCodePage                       KERNEL32
AreFileApisANSI                       KERNEL32
GetModuleHandleExW                    KERNEL32
ExitProcess                           KERNEL32
EncodePointer                         KERNEL32
InterlockedIncrement                  KERNEL32
DeleteFileW                           KERNEL32
GetFileSize                           KERNEL32
WriteFile                             KERNEL32
ReadFile                              KERNEL32
CreateFileW                           KERNEL32
GetModuleHandleW                      KERNEL32
GetCommandLineW                       KERNEL32
LCMapStringW                          KERNEL32
GlobalFree                            KERNEL32
GlobalAlloc                           KERNEL32
GlobalUnlock                          KERNEL32
GlobalLock                            KERNEL32
GlobalSize                            KERNEL32
LocalFree                             KERNEL32
FormatMessageW                        KERNEL32
CreateThread                          KERNEL32
ResetEvent                            KERNEL32
WaitForSingleObject                   KERNEL32
SetEvent                              KERNEL32
